vectorizer,model,accuracy,class,precision,recall,f1-score,support
Hashing,LogReg,0.784037558685446,neg_review,1.0,0.041666666666666664,0.07999999999999999,48.0
Hashing,LogReg,0.784037558685446,pos_review,0.7819905213270142,1.0,0.8776595744680851,165.0
Hashing,LogReg,0.784037558685446,average,0.8311194179293772,0.784037558685446,0.697905304165418,213.0
Hashing,KNN,0.8215962441314554,neg_review,0.7083333333333334,0.3541666666666667,0.47222222222222227,48.0
Hashing,KNN,0.8215962441314554,pos_review,0.8359788359788359,0.9575757575757575,0.8926553672316385,165.0
Hashing,KNN,0.8215962441314554,average,0.8072136522840747,0.8215962441314554,0.7979098697647277,213.0
Hashing,LSVM,0.8356807511737089,neg_review,0.76,0.3958333333333333,0.5205479452054795,48.0
Hashing,LSVM,0.8356807511737089,pos_review,0.8457446808510638,0.9636363636363636,0.9008498583569405,165.0
Hashing,LSVM,0.8356807511737089,average,0.8264219358705424,0.8356807511737089,0.8151480187735127,213.0
Hashing,KSVM,0.7746478873239436,neg_review,0.0,0.0,0.0,48.0
Hashing,KSVM,0.7746478873239436,pos_review,0.7746478873239436,1.0,0.873015873015873,165.0
Hashing,KSVM,0.7746478873239436,average,0.6000793493354493,0.7746478873239436,0.6762799016320142,213.0
Hashing,NBayes,0.7230046948356808,neg_review,0.07692307692307693,0.020833333333333332,0.03278688524590164,48.0
Hashing,NBayes,0.7230046948356808,pos_review,0.765,0.9272727272727272,0.8383561643835615,165.0
Hashing,NBayes,0.7230046948356808,average,0.6099404117009751,0.7230046948356808,0.6568194254229622,213.0
Hashing,DTree,0.7746478873239436,neg_review,0.0,0.0,0.0,48.0
Hashing,DTree,0.7746478873239436,pos_review,0.7746478873239436,1.0,0.873015873015873,165.0
Hashing,DTree,0.7746478873239436,average,0.6000793493354493,0.7746478873239436,0.6762799016320142,213.0
Hashing,RForest,0.7981220657276995,neg_review,0.7272727272727273,0.16666666666666666,0.2711864406779661,48.0
Hashing,RForest,0.7981220657276995,pos_review,0.801980198019802,0.9818181818181818,0.8828337874659401,165.0
Hashing,RForest,0.7981220657276995,average,0.7851447116542641,0.7981220657276995,0.7449977656545657,213.0
Hashing,ABoost,0.7746478873239436,neg_review,0.5,0.020833333333333332,0.039999999999999994,48.0
Hashing,ABoost,0.7746478873239436,pos_review,0.7772511848341233,0.9939393939393939,0.8723404255319149,165.0
Hashing,ABoost,0.7746478873239436,average,0.7147720445898138,0.7746478873239436,0.6847707521726102,213.0
Hashing,GBoost,0.8075117370892019,neg_review,0.6206896551724138,0.375,0.4675324675324676,48.0
Hashing,GBoost,0.8075117370892019,pos_review,0.8369565217391305,0.9333333333333333,0.8825214899713467,165.0
Hashing,GBoost,0.8075117370892019,average,0.7882203264564902,0.8075117370892019,0.7890028370273738,213.0
Hashing,SGBoost,0.784037558685446,neg_review,0.5416666666666666,0.2708333333333333,0.36111111111111105,48.0
Hashing,SGBoost,0.784037558685446,pos_review,0.8148148148148148,0.9333333333333333,0.8700564971751413,165.0
Hashing,SGBoost,0.784037558685446,average,0.7532603025560771,0.784037558685446,0.7553645791888811,213.0
Hashing,XGBoost,0.812206572769953,neg_review,0.7222222222222222,0.2708333333333333,0.39393939393939387,48.0
Hashing,XGBoost,0.812206572769953,pos_review,0.8205128205128205,0.9696969696969697,0.8888888888888888,165.0
Hashing,XGBoost,0.812206572769953,average,0.7983628265318405,0.812206572769953,0.7773509745340731,213.0
Hashing,CBoost,0.8075117370892019,neg_review,0.6296296296296297,0.3541666666666667,0.45333333333333337,48.0
Hashing,CBoost,0.8075117370892019,pos_review,0.8333333333333334,0.9393939393939394,0.8831908831908831,165.0
Hashing,CBoost,0.8075117370892019,average,0.7874282733437663,0.8075117370892019,0.7863215761807311,213.0
