vectorizer,model,accuracy,class,precision,recall,f1-score,support
CVec_TSVD_SMOTE,LogReg,0.8309859154929577,neg_review,0.8333333333333334,0.3125,0.45454545454545453,48.0
CVec_TSVD_SMOTE,LogReg,0.8309859154929577,pos_review,0.8307692307692308,0.9818181818181818,0.9,165.0
CVec_TSVD_SMOTE,LogReg,0.8309859154929577,average,0.8313470566991694,0.8309859154929577,0.7996158770806658,213.0
CVec_TSVD_SMOTE,KNN,0.7981220657276995,neg_review,0.6470588235294118,0.22916666666666666,0.3384615384615385,48.0
CVec_TSVD_SMOTE,KNN,0.7981220657276995,pos_review,0.8112244897959183,0.9636363636363636,0.8808864265927977,165.0
CVec_TSVD_SMOTE,KNN,0.7981220657276995,average,0.7742294100738888,0.7981220657276995,0.7586498320843449,213.0
CVec_TSVD_SMOTE,LSVM,0.8591549295774648,neg_review,0.8,0.5,0.6153846153846154,48.0
CVec_TSVD_SMOTE,LSVM,0.8591549295774648,pos_review,0.8688524590163934,0.9636363636363636,0.9137931034482758,165.0
CVec_TSVD_SMOTE,LSVM,0.8591549295774648,average,0.8533364119141076,0.8591549295774648,0.8465461202226622,213.0
CVec_TSVD_SMOTE,KSVM,0.7746478873239436,neg_review,0.0,0.0,0.0,48.0
CVec_TSVD_SMOTE,KSVM,0.7746478873239436,pos_review,0.7746478873239436,1.0,0.873015873015873,165.0
CVec_TSVD_SMOTE,KSVM,0.7746478873239436,average,0.6000793493354493,0.7746478873239436,0.6762799016320142,213.0
CVec_TSVD_SMOTE,NBayes,0.8544600938967136,neg_review,0.7297297297297297,0.5625,0.6352941176470588,48.0
CVec_TSVD_SMOTE,NBayes,0.8544600938967136,pos_review,0.8806818181818182,0.9393939393939394,0.9090909090909091,165.0
CVec_TSVD_SMOTE,NBayes,0.8544600938967136,average,0.8466644461362771,0.8544600938967136,0.8473902236951119,213.0
CVec_TSVD_SMOTE,DTree,0.7746478873239436,neg_review,0.0,0.0,0.0,48.0
CVec_TSVD_SMOTE,DTree,0.7746478873239436,pos_review,0.7746478873239436,1.0,0.873015873015873,165.0
CVec_TSVD_SMOTE,DTree,0.7746478873239436,average,0.6000793493354493,0.7746478873239436,0.6762799016320142,213.0
CVec_TSVD_SMOTE,RForest,0.8262910798122066,neg_review,0.7619047619047619,0.3333333333333333,0.463768115942029,48.0
CVec_TSVD_SMOTE,RForest,0.8262910798122066,pos_review,0.8333333333333334,0.9696969696969697,0.896358543417367,165.0
CVec_TSVD_SMOTE,RForest,0.8262910798122066,average,0.8172367538564721,0.8262910798122066,0.7988733766623614,213.0
CVec_TSVD_SMOTE,ABoost,0.7746478873239436,neg_review,0.0,0.0,0.0,48.0
CVec_TSVD_SMOTE,ABoost,0.7746478873239436,pos_review,0.7746478873239436,1.0,0.873015873015873,165.0
CVec_TSVD_SMOTE,ABoost,0.7746478873239436,average,0.6000793493354493,0.7746478873239436,0.6762799016320142,213.0
CVec_TSVD_SMOTE,GBoost,0.8215962441314554,neg_review,0.6785714285714286,0.3958333333333333,0.5,48.0
CVec_TSVD_SMOTE,GBoost,0.8215962441314554,pos_review,0.8432432432432433,0.9454545454545454,0.8914285714285713,165.0
CVec_TSVD_SMOTE,GBoost,0.8215962441314554,average,0.8061341019087498,0.8215962441314554,0.8032193158953721,213.0
CVec_TSVD_SMOTE,SGBoost,0.8169014084507042,neg_review,0.6666666666666666,0.375,0.4800000000000001,48.0
CVec_TSVD_SMOTE,SGBoost,0.8169014084507042,pos_review,0.8387096774193549,0.9454545454545454,0.8888888888888888,165.0
CVec_TSVD_SMOTE,SGBoost,0.8169014084507042,average,0.7999394214750871,0.8169014084507042,0.7967449139280124,213.0
CVec_TSVD_SMOTE,XGBoost,0.812206572769953,neg_review,0.75,0.25,0.375,48.0
CVec_TSVD_SMOTE,XGBoost,0.812206572769953,pos_review,0.817258883248731,0.9757575757575757,0.8895027624309393,165.0
CVec_TSVD_SMOTE,XGBoost,0.812206572769953,average,0.8021019518123973,0.812206572769953,0.7735584779394601,213.0
CVec_TSVD_SMOTE,CBoost,0.8169014084507042,neg_review,0.68,0.3541666666666667,0.46575342465753433,48.0
CVec_TSVD_SMOTE,CBoost,0.8169014084507042,pos_review,0.8351063829787234,0.9515151515151515,0.8895184135977336,165.0
CVec_TSVD_SMOTE,CBoost,0.8169014084507042,average,0.8001528318849267,0.8169014084507042,0.794022078061914,213.0
