vectorizer,model,accuracy,class,precision,recall,f1-score,support
TfidfVect,LogReg,0.7934272300469484,neg_review,1.0,0.08333333333333333,0.15384615384615385,48.0
TfidfVect,LogReg,0.7934272300469484,pos_review,0.7894736842105263,1.0,0.8823529411764706,165.0
TfidfVect,LogReg,0.7934272300469484,average,0.8369162342475909,0.7934272300469484,0.7181823975527373,213.0
TfidfVect,KNN,0.8450704225352113,neg_review,0.8260869565217391,0.3958333333333333,0.5352112676056338,48.0
TfidfVect,KNN,0.8450704225352113,pos_review,0.8473684210526315,0.9757575757575757,0.9070422535211267,165.0
TfidfVect,KNN,0.8450704225352113,average,0.8425725980597544,0.8450704225352113,0.8232493552866494,213.0
TfidfVect,LSVM,0.8544600938967136,neg_review,0.9473684210526315,0.375,0.537313432835821,48.0
TfidfVect,LSVM,0.8544600938967136,pos_review,0.845360824742268,0.9939393939393939,0.9136490250696379,165.0
TfidfVect,LSVM,0.8544600938967136,average,0.8683484520798147,0.8544600938967136,0.8288410042845523,213.0
TfidfVect,KSVM,0.7746478873239436,neg_review,0.0,0.0,0.0,48.0
TfidfVect,KSVM,0.7746478873239436,pos_review,0.7746478873239436,1.0,0.873015873015873,165.0
TfidfVect,KSVM,0.7746478873239436,average,0.6000793493354493,0.7746478873239436,0.6762799016320142,213.0
TfidfVect,NBayes,0.784037558685446,neg_review,1.0,0.041666666666666664,0.07999999999999999,48.0
TfidfVect,NBayes,0.784037558685446,pos_review,0.7819905213270142,1.0,0.8776595744680851,165.0
TfidfVect,NBayes,0.784037558685446,average,0.8311194179293772,0.784037558685446,0.697905304165418,213.0
TfidfVect,DTree,0.7746478873239436,neg_review,0.0,0.0,0.0,48.0
TfidfVect,DTree,0.7746478873239436,pos_review,0.7746478873239436,1.0,0.873015873015873,165.0
TfidfVect,DTree,0.7746478873239436,average,0.6000793493354493,0.7746478873239436,0.6762799016320142,213.0
TfidfVect,RForest,0.8169014084507042,neg_review,1.0,0.1875,0.3157894736842105,48.0
TfidfVect,RForest,0.8169014084507042,pos_review,0.8088235294117647,1.0,0.8943089430894309,165.0
TfidfVect,RForest,0.8169014084507042,average,0.8519055509527755,0.8169014084507042,0.7639383584347333,213.0
TfidfVect,ABoost,0.7699530516431925,neg_review,0.0,0.0,0.0,48.0
TfidfVect,ABoost,0.7699530516431925,pos_review,0.7735849056603774,0.9939393939393939,0.870026525198939,165.0
TfidfVect,ABoost,0.7699530516431925,average,0.5992559128355036,0.7699530516431925,0.6739642096611499,213.0
TfidfVect,GBoost,0.8262910798122066,neg_review,0.7894736842105263,0.3125,0.44776119402985076,48.0
TfidfVect,GBoost,0.8262910798122066,pos_review,0.8298969072164949,0.9757575757575757,0.8969359331476323,165.0
TfidfVect,GBoost,0.8262910798122066,average,0.8207874485109244,0.8262910798122066,0.7957134567267238,213.0
TfidfVect,SGBoost,0.8215962441314554,neg_review,0.7083333333333334,0.3541666666666667,0.47222222222222227,48.0
TfidfVect,SGBoost,0.8215962441314554,pos_review,0.8359788359788359,0.9575757575757575,0.8926553672316385,165.0
TfidfVect,SGBoost,0.8215962441314554,average,0.8072136522840747,0.8215962441314554,0.7979098697647277,213.0
TfidfVect,XGBoost,0.8028169014084507,neg_review,0.6875,0.22916666666666666,0.34375,48.0
TfidfVect,XGBoost,0.8028169014084507,pos_review,0.8121827411167513,0.9696969696969697,0.8839779005524863,165.0
TfidfVect,XGBoost,0.8028169014084507,average,0.7840852219918496,0.8028169014084507,0.762236401836433,213.0
TfidfVect,CBoost,0.8262910798122066,neg_review,0.8235294117647058,0.2916666666666667,0.4307692307692308,48.0
TfidfVect,CBoost,0.8262910798122066,pos_review,0.826530612244898,0.9818181818181818,0.8975069252077562,165.0
TfidfVect,CBoost,0.8262910798122066,average,0.8258542853761223,0.8262910798122066,0.7923265997004829,213.0
