vectorizer,model,accuracy,class,precision,recall,f1-score,support
CountVec_SMOTEd,LogReg,0.8262910798122066,neg_review,0.8235294117647058,0.2916666666666667,0.4307692307692308,48.0
CountVec_SMOTEd,LogReg,0.8262910798122066,pos_review,0.826530612244898,0.9818181818181818,0.8975069252077562,165.0
CountVec_SMOTEd,LogReg,0.8262910798122066,average,0.8258542853761223,0.8262910798122066,0.7923265997004829,213.0
CountVec_SMOTEd,KNN,0.8028169014084507,neg_review,0.75,0.1875,0.3,48.0
CountVec_SMOTEd,KNN,0.8028169014084507,pos_review,0.8059701492537313,0.9818181818181818,0.8852459016393442,165.0
CountVec_SMOTEd,KNN,0.8028169014084507,average,0.7933571578726087,0.8028169014084507,0.7533595012699146,213.0
CountVec_SMOTEd,LSVM,0.8591549295774648,neg_review,0.8,0.5,0.6153846153846154,48.0
CountVec_SMOTEd,LSVM,0.8591549295774648,pos_review,0.8688524590163934,0.9636363636363636,0.9137931034482758,165.0
CountVec_SMOTEd,LSVM,0.8591549295774648,average,0.8533364119141076,0.8591549295774648,0.8465461202226622,213.0
CountVec_SMOTEd,KSVM,0.7746478873239436,neg_review,0.0,0.0,0.0,48.0
CountVec_SMOTEd,KSVM,0.7746478873239436,pos_review,0.7746478873239436,1.0,0.873015873015873,165.0
CountVec_SMOTEd,KSVM,0.7746478873239436,average,0.6000793493354493,0.7746478873239436,0.6762799016320142,213.0
CountVec_SMOTEd,NBayes,0.8544600938967136,neg_review,0.7297297297297297,0.5625,0.6352941176470588,48.0
CountVec_SMOTEd,NBayes,0.8544600938967136,pos_review,0.8806818181818182,0.9393939393939394,0.9090909090909091,165.0
CountVec_SMOTEd,NBayes,0.8544600938967136,average,0.8466644461362771,0.8544600938967136,0.8473902236951119,213.0
CountVec_SMOTEd,DTree,0.7746478873239436,neg_review,0.0,0.0,0.0,48.0
CountVec_SMOTEd,DTree,0.7746478873239436,pos_review,0.7746478873239436,1.0,0.873015873015873,165.0
CountVec_SMOTEd,DTree,0.7746478873239436,average,0.6000793493354493,0.7746478873239436,0.6762799016320142,213.0
CountVec_SMOTEd,RForest,0.8309859154929577,neg_review,0.8,0.3333333333333333,0.47058823529411764,48.0
CountVec_SMOTEd,RForest,0.8309859154929577,pos_review,0.8341968911917098,0.9757575757575757,0.8994413407821229,165.0
CountVec_SMOTEd,RForest,0.8309859154929577,average,0.8264905495147048,0.8309859154929577,0.8027983874327134,213.0
CountVec_SMOTEd,ABoost,0.7746478873239436,neg_review,0.0,0.0,0.0,48.0
CountVec_SMOTEd,ABoost,0.7746478873239436,pos_review,0.7746478873239436,1.0,0.873015873015873,165.0
CountVec_SMOTEd,ABoost,0.7746478873239436,average,0.6000793493354493,0.7746478873239436,0.6762799016320142,213.0
CountVec_SMOTEd,GBoost,0.8215962441314554,neg_review,0.7083333333333334,0.3541666666666667,0.47222222222222227,48.0
CountVec_SMOTEd,GBoost,0.8215962441314554,pos_review,0.8359788359788359,0.9575757575757575,0.8926553672316385,165.0
CountVec_SMOTEd,GBoost,0.8215962441314554,average,0.8072136522840747,0.8215962441314554,0.7979098697647277,213.0
CountVec_SMOTEd,SGBoost,0.8215962441314554,neg_review,0.6785714285714286,0.3958333333333333,0.5,48.0
CountVec_SMOTEd,SGBoost,0.8215962441314554,pos_review,0.8432432432432433,0.9454545454545454,0.8914285714285713,165.0
CountVec_SMOTEd,SGBoost,0.8215962441314554,average,0.8061341019087498,0.8215962441314554,0.8032193158953721,213.0
CountVec_SMOTEd,XGBoost,0.812206572769953,neg_review,0.75,0.25,0.375,48.0
CountVec_SMOTEd,XGBoost,0.812206572769953,pos_review,0.817258883248731,0.9757575757575757,0.8895027624309393,165.0
CountVec_SMOTEd,XGBoost,0.812206572769953,average,0.8021019518123973,0.812206572769953,0.7735584779394601,213.0
CountVec_SMOTEd,CBoost,0.8309859154929577,neg_review,0.8,0.3333333333333333,0.47058823529411764,48.0
CountVec_SMOTEd,CBoost,0.8309859154929577,pos_review,0.8341968911917098,0.9757575757575757,0.8994413407821229,165.0
CountVec_SMOTEd,CBoost,0.8309859154929577,average,0.8264905495147048,0.8309859154929577,0.8027983874327134,213.0
